transaction_id,customer_id,amount,date,payment_method,product_category,quantity,customer_age,customer_location,device_used,ip_address,Customer_Shipping_Address,Customer_Billing_Address,is_fraudulent,account_age_days,transaction_hour
c12e07a0-8a06-4c0d-b5cc-04f3af688570,8ca9f102-02a4-4207-ab63-484e83a1bdf0,42.32,24-03-2024 23.42,PayPal,electronics,1,40,East Jameshaven,desktop,110.87.246.85,"5399 Rachel Stravenue Suite 718
North Blakeburgh, IL 78600","5399 Rachel Stravenue Suite 718
North Blakeburgh, IL 78600",0,282,23
7d187603-7961-4fce-9827-9698e2b6a201,4d158416-caae-4b09-bd5b-15235deb9129,301.34,22-01-2024 0.53,credit card,electronics,3,35,Kingstad,tablet,14.73.104.153,"5230 Stephanie Forge
Collinsbury, PR 81853","5230 Stephanie Forge
Collinsbury, PR 81853",0,223,0
f2c14f9d-92df-4aaf-8931-ceaf4e63ed72,ccae47b8-75c7-4f5a-aa9e-957deced2137,340.32,22-01-2024 8.06,debit card,toys & games,5,29,North Ryan,desktop,67.58.94.93,"195 Cole Oval
Port Larry, IA 58422","4772 David Stravenue Apt. 447
Velasquezside, KS 67650",0,360,8
e9949bfa-194d-486b-84da-9565fca9e5ce,b04960c0-aeee-4907-b1cd-4819016adcef,95.77,16-01-2024 20.34,credit card,electronics,5,45,Kaylaville,mobile,202.122.126.216,"7609 Cynthia Square
West Brenda, NV 23016","7609 Cynthia Square
West Brenda, NV 23016",0,325,20
7362837c-7538-434e-8731-0df713f5f26d,de9d6351-b3a7-4bc7-9a55-8f013eb66928,77.45,16-01-2024 15.47,credit card,clothing,5,42,North Edwardborough,desktop,96.77.232.76,"2494 Robert Ramp Suite 313
Robinsonport, AS 52039","2494 Robert Ramp Suite 313
Robinsonport, AS 52039",0,116,15
5da506fe-d4df-474a-b773-146333f06cfe,03033baf-2bcc-4608-b5b8-9c86976f4948,345.27,22-02-2024 13.49,PayPal,toys & games,1,9,Johnsonmouth,desktop,158.48.161.135,"PSC 3832, Box 5265
APO AE 85694","PSC 3832, Box 5265
APO AE 85694",0,251,13
47b35c5d-d4c9-4a7d-a354-cd41596abf67,6a5305a3-b47c-4bdb-91d7-3bf126530e01,53.69,21-03-2024 13.42,debit card,toys & games,3,41,New Brendamouth,mobile,93.54.173.138,"272 Tammy Isle Apt. 969
North Michaelmouth, MH 02615","272 Tammy Isle Apt. 969
North Michaelmouth, MH 02615",0,138,13
bf3db41c-25a9-4e6d-b87f-13e5fabe35dd,7300dcf3-df6f-439f-ba13-a98f18b972f3,680.17,18-01-2024 23.25,debit card,electronics,5,39,South Tracy,tablet,61.52.160.51,"30470 Amanda Causeway Suite 446
Lake Ashleyland, FM 97864","30470 Amanda Causeway Suite 446
Lake Ashleyland, FM 97864",0,36,23
8ec806af-c367-4dd0-8218-25d3c8c7a346,25c48d47-879f-49b3-b0cc-a7393c28f8af,126.5,12-02-2024 4.01,debit card,home & garden,4,35,West Henry,mobile,6.59.118.143,"179 Amy Roads
Ryanland, OH 38054","179 Amy Roads
Ryanland, OH 38054",0,188,4
3b51c8cd-e0d7-48ba-894f-8f77b2cf2f43,41803857-0031-499c-bcaf-bca4e4ef4620,47.18,06-04-2024 22.52,bank transfer,toys & games,4,19,Taylorside,mobile,17.185.69.10,"34828 Ronald Oval Suite 620
New Samuelmouth, PR 68222","34828 Ronald Oval Suite 620
New Samuelmouth, PR 68222",0,245,22
147217fc-c355-47ee-907d-e3f9cfc7d6ca,6205d7d8-4f61-4e75-acf3-611adf58bf46,137.74,21-03-2024 12.35,PayPal,health & beauty,2,24,East Scottburgh,mobile,129.112.44.110,"672 Chang Ways Suite 224
New Sharonfurt, RI 53839","672 Chang Ways Suite 224
New Sharonfurt, RI 53839",0,256,12
2a2a4e1d-0889-49e8-8a0e-9045072665f9,21dc4cc4-2ffe-4b64-862c-8858950615fc,141.09,30-03-2024 0.23,PayPal,health & beauty,1,53,Lake Cynthiafurt,mobile,68.178.249.254,"869 Rivera Plaza
Paulburgh, AK 30060","869 Rivera Plaza
Paulburgh, AK 30060",0,205,0
c2d10730-a7bb-44e6-a2a3-357e8d029259,1dce876f-821a-4af1-95a3-2e270774e421,95.13,25-01-2024 19.42,credit card,electronics,4,51,New Elizabethbury,mobile,146.189.28.134,"7565 Patrick Radial
Samanthashire, HI 61678","007 Williams Tunnel Apt. 174
Lake Dylan, MN 22467",0,95,19
326199a2-7e5c-4c76-ab15-805ce119b381,3612d33f-bacf-4337-a819-1bda24058370,260.69,19-02-2024 2.48,debit card,electronics,5,15,New Aaronport,tablet,217.121.61.188,"628 Cole Square
Port Mary, VT 38674","0750 Jay Island
South Adam, NC 68936",0,158,2
6dab2ff0-55ea-4fe4-b5cf-e4159276f1e9,c172884f-0844-47c3-9187-2e14d11fc025,70.66,22-03-2024 16.51,debit card,home & garden,3,42,West Jamesbury,tablet,161.56.234.197,"1437 Johnson Extensions
New Daniel, PW 39680","1437 Johnson Extensions
New Daniel, PW 39680",0,209,16
f77b607f-230a-4981-bcf2-5db8f26caa1f,a078ac2b-3548-480e-a244-973e116f1229,36.12,26-03-2024 14.40,PayPal,toys & games,2,39,East Joshua,tablet,9.65.99.208,"85492 Hill Green
West Alexander, TX 53337","85492 Hill Green
West Alexander, TX 53337",0,301,14
6760f009-e303-42fb-9fc6-a7a349ce3d2e,49304d18-aa35-493e-89bf-a315fdb60fcd,57.91,25-03-2024 17.50,debit card,home & garden,3,33,Annamouth,mobile,44.233.186.153,"506 Oliver Isle
Lake Brenda, CT 89746","506 Oliver Isle
Lake Brenda, CT 89746",0,352,17
15547929-bd2d-4517-ad9d-1e6f540d7ebb,116c1649-3f80-4741-a5ae-95ff2a1b266a,10.14,13-02-2024 5.08,credit card,home & garden,1,24,Howardchester,mobile,113.105.194.48,"53240 Jackson Run Apt. 522
New Thomas, SD 82462","53240 Jackson Run Apt. 522
New Thomas, SD 82462",0,347,5
9d84b64e-1319-4534-af5f-979e167b9e34,512c4d1d-720b-47e1-b85b-de1008eee5fd,261.52,22-02-2024 11.10,credit card,toys & games,1,37,East William,mobile,105.40.136.255,"9829 Randy Tunnel Apt. 857
Amandastad, MT 64023","9829 Randy Tunnel Apt. 857
Amandastad, MT 64023",0,72,11
c2702a20-da3d-42fc-8656-834d1ad13bf5,c7653de4-4178-45aa-8766-0d6669d80fe9,258.23,14-01-2024 22.24,PayPal,toys & games,4,41,Arnoldburgh,tablet,56.128.162.105,"4482 Paul Viaduct Suite 147
Johnton, IA 97781","4482 Paul Viaduct Suite 147
Johnton, IA 97781",0,44,22
f675cd27-0c21-4b63-b114-3b4454f53cb7,8bc028c7-d6b5-46ac-8e72-3d20444e908d,438.16,28-02-2024 12.04,credit card,electronics,1,34,Jenniferberg,tablet,26.8.155.180,"PSC 8138, Box 0814
APO AA 42879","PSC 8138, Box 0814
APO AA 42879",0,118,12
9770f158-53e3-45a6-b020-db4380d94c62,050cabaf-c6e0-4684-b069-817cdac650cf,206.21,02-02-2024 19.59,debit card,electronics,1,37,Martineztown,desktop,138.209.172.106,"25427 Hill Wall
Klineview, TX 19137","25427 Hill Wall
Klineview, TX 19137",0,60,19
0dcaff26-59ab-4d84-a320-120dd9025c86,e35cf204-c4a8-46f9-ab24-441a68023aad,520.27,06-02-2024 2.11,PayPal,toys & games,2,18,South Edwardborough,mobile,207.105.190.131,"31001 Simpson Lodge
West Eric, VA 36101","31001 Simpson Lodge
West Eric, VA 36101",0,213,2
94204afa-639f-4e28-9aa7-2d31ff8eeeed,95f76bdf-0db5-4e26-b873-c8e044ffb0f4,412.96,01-03-2024 17.26,credit card,home & garden,2,33,Port Sean,desktop,204.19.97.95,"30888 Christine Way
Rochafurt, OR 72284","30888 Christine Way
Rochafurt, OR 72284",0,211,17
220fefde-27ce-4414-94c4-3ba46615bd34,08b264b7-646b-4c34-ad7b-6912b21b4fd9,183.6,14-01-2024 21.07,bank transfer,electronics,3,27,Port Richardberg,tablet,57.85.170.222,"8954 William Pines
East Amanda, AK 82920","8954 William Pines
East Amanda, AK 82920",0,360,21
59ac0ba0-fd98-48be-aeb1-5da4f6aee87c,b11bf3de-e5d3-4c92-8d76-b6ece6275591,112.26,26-01-2024 3.33,debit card,home & garden,4,48,New Dianebury,desktop,138.228.171.245,"043 Jean Falls
Meganland, KS 98284","043 Jean Falls
Meganland, KS 98284",0,271,3
0f664ed3-7c50-4db2-bb8a-447529952c70,f253293d-d0be-4aea-a388-b1001e985039,23.67,08-02-2024 6.56,bank transfer,electronics,5,35,East Keithmouth,desktop,201.201.149.17,"6583 Jacob Cliff
New Stephen, CO 07644","6583 Jacob Cliff
New Stephen, CO 07644",0,58,6
387733c1-1079-4fcb-be09-b0fae043fad7,f450da42-3064-415e-83b9-1351e3398f22,148.94,16-03-2024 0.00,PayPal,clothing,3,45,Barneschester,mobile,79.79.204.137,"907 Goodman Way Apt. 046
Rebeccachester, KY 99454","907 Goodman Way Apt. 046
Rebeccachester, KY 99454",0,297,0
0ff77f0f-32ee-4578-92e9-7fbe8ba88008,7eff4508-e735-4d53-8ed8-474f92bd4676,369.54,14-02-2024 13.23,debit card,toys & games,5,22,Port Richard,tablet,197.60.202.230,"714 Gaines Inlet Suite 692
Clarkchester, NC 03481","714 Gaines Inlet Suite 692
Clarkchester, NC 03481",0,336,13
f9959bb7-ca0f-4a88-870a-8c83164c6800,aeeb7e26-9061-45f1-a0aa-16104fd72823,530.41,20-02-2024 7.17,debit card,clothing,5,40,East Williamview,mobile,104.45.244.37,"8176 Kevin Flat Apt. 476
West Erikaville, GU 02119","8176 Kevin Flat Apt. 476
West Erikaville, GU 02119",0,341,7
802a57f3-12a9-4725-b83f-4157168e7b2b,eeb4161c-074e-4590-b99e-861f08fd0642,149.24,24-01-2024 20.10,PayPal,home & garden,2,25,Palmerland,tablet,91.75.127.214,"07995 Rebecca Extensions
Clarkberg, NE 73339","07995 Rebecca Extensions
Clarkberg, NE 73339",0,103,20
b17344eb-2921-4c74-bd0f-d9053bdf7037,59b36101-bc10-4445-95d8-9e6bfd7461ca,630.67,16-03-2024 9.53,debit card,home & garden,1,37,North Alexander,mobile,165.206.129.75,"6394 Mario Stream Suite 810
Morenoton, ID 54087","6394 Mario Stream Suite 810
Morenoton, ID 54087",0,26,9
642c2960-8fdf-4808-bac1-3f95eb606d28,64cc73c2-8686-4be7-85a8-587c1667a690,277.73,04-01-2024 2.08,PayPal,clothing,2,14,Marcbury,tablet,166.32.205.111,"94222 Adam Pine
East Marciafurt, TX 30308","94222 Adam Pine
East Marciafurt, TX 30308",0,170,2
248506e3-8f94-4b35-951b-9831e522f560,1b363431-0576-429c-8c09-ee5c91c493c8,428.88,04-02-2024 16.30,credit card,home & garden,3,28,Colehaven,tablet,145.117.118.84,"4802 Nicole Parkways
Ericksonview, MA 35620","4802 Nicole Parkways
Ericksonview, MA 35620",0,47,16
0ca5201f-3d38-4b8c-8670-5d3909300c37,8c454f23-0f00-4350-80f5-0bac7cbce7f1,77.27,07-04-2024 4.41,PayPal,clothing,4,45,Mendozaside,tablet,170.185.115.244,"786 Robert Spring
Rebeccachester, MN 58178","786 Robert Spring
Rebeccachester, MN 58178",0,61,4
7490e1fe-6a24-4a29-aa7e-b660e1f56341,4c23cdc5-12ce-4205-9f5b-720e43689fd7,13.91,06-04-2024 3.42,debit card,home & garden,2,44,Allenfurt,desktop,157.63.228.231,"5175 Haney Canyon Apt. 503
Davidborough, IA 94634","5175 Haney Canyon Apt. 503
Davidborough, IA 94634",0,326,3
01784f08-338e-461f-9685-6bcb507ab1f4,d5010ab2-ceff-4617-b0bc-735409c64104,222,25-03-2024 19.30,bank transfer,home & garden,1,51,Robinton,tablet,138.3.124.205,"5531 Sharp Squares Apt. 982
New Rachel, GU 76203","5531 Sharp Squares Apt. 982
New Rachel, GU 76203",1,194,4
