sr_no,credit_card,city,state,zipcode,credit_card_limit,date,transaction_dollar_amount,Long,Lat
1,1280000000000000,Dallas,PA,18612,6000,03-08-2015 21:03,15.73,-75.93783185,41.36381982
2,1280000000000000,Dallas,PA,18612,6000,03-08-2015 01:04,80.94,-76.05912122,41.3669785
3,1280000000000000,Dallas,PA,18612,6000,03-08-2015 00:09,65.78,-76.05227565,41.39174997
4,1280000000000000,Dallas,PA,18612,6000,03-08-2015 17:52,19.09,-76.03421377,41.40327254
5,9740000000000000,Houston,PA,15342,16000,03-08-2015 23:00,140.28,-80.23627887,40.28602917
6,9740000000000000,Houston,PA,15342,16000,03-08-2015 17:33,50.84,-80.2012662,40.28920928
7,9740000000000000,Houston,PA,15342,16000,03-08-2015 23:07,156.12,-80.18637526,40.27677158
8,9740000000000000,Houston,PA,15342,16000,03-08-2015 23:07,188.33,-80.22579135,40.20531792
9,9740000000000000,Houston,PA,15342,16000,03-08-2015 23:07,109.39,-80.15304293,40.26849381
10,9740000000000000,Houston,PA,15342,16000,03-08-2015 23:23,87.44,-80.2909428,40.24232625
11,9740000000000000,Houston,PA,15342,16000,03-08-2015 21:16,105.28,-80.27710867,40.18783328
12,4750000000000000,Auburn,MA,1501,14000,03-08-2015 19:19,73.59,-71.78106279,42.22971149
13,9590000000000000,Orlando,WV,26412,18000,03-08-2015 19:56,44.2,-80.49080441,38.88562497
14,9590000000000000,Orlando,WV,26412,18000,03-08-2015 19:05,135.77,-80.57724704,38.96413896
15,2100000000000000,New York,NY,10001,20000,03-08-2015 01:07,7.4,-74.02809666,40.76339597
16,2100000000000000,New York,NY,10001,20000,03-08-2015 13:20,60.7,-74.02031042,40.70823607
17,2100000000000000,New York,NY,10001,20000,03-08-2015 19:08,16.93,-73.9813571,40.77641042
18,2100000000000000,New York,NY,10001,20000,03-08-2015 23:48,78.9,-73.94462043,40.80070063
19,2000000000000000,Atlanta,NY,14808,21000,03-08-2015 21:53,35.91,-77.5154147,42.59830749
